States/UTs,District,Year,Murder,RAPE,THEFT,DOWRY DEATHS
ANDHRA PRADESH,ADILABAD,2001,101,50,199,16
ANDHRA PRADESH,ANANTAPUR,2001,151,23,366,7
ANDHRA PRADESH,CHITTOOR,2001,101,27,723,14
ANDHRA PRADESH,CUDDAPAH,2001,80,20,173,17
ANDHRA PRADESH,EAST GODAVARI,2001,82,23,1021,12
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,0,162,0
ANDHRA PRADESH,GUNTUR,2001,182,54,1122,7
ANDHRA PRADESH,HYDERABAD CITY,2001,111,37,2792,24
ANDHRA PRADESH,KARIMNAGAR,2001,162,56,392,62
ANDHRA PRADESH,KHAMMAM,2001,93,47,368,17
ANDHRA PRADESH,KRISHNA,2001,65,37,478,10
ANDHRA PRADESH,KURNOOL,2001,133,29,297,13
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,59,316,14
ANDHRA PRADESH,MEDAK,2001,101,35,286,26
ANDHRA PRADESH,NALGONDA,2001,122,35,318,31
ANDHRA PRADESH,NELLORE,2001,89,46,608,10
ANDHRA PRADESH,NIZAMABAD,2001,106,21,234,19
ANDHRA PRADESH,PRAKASHAM,2001,102,19,278,5
ANDHRA PRADESH,RANGA REDDY,2001,214,72,1296,37
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,296,1
ANDHRA PRADESH,SRIKAKULAM,2001,38,8,231,6
ANDHRA PRADESH,VIJAYAWADA,2001,53,25,2057,2
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,265,0
ANDHRA PRADESH,VISAKHA RURAL,2001,58,12,165,3
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,13,630,0
ANDHRA PRADESH,VIZIANAGARAM,2001,33,8,144,0
ANDHRA PRADESH,WARANGAL,2001,158,53,418,52
ANDHRA PRADESH,WEST GODAVARI,2001,77,61,1116,15
ANDHRA PRADESH,TOTAL,2001,2602,871,16751,420
ARUNACHAL PRADESH,CHANGLANG,2001,11,1,24,0
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,2,19,0
ARUNACHAL PRADESH,KAMENG EAST,2001,3,2,26,0
ARUNACHAL PRADESH,KAMENG WEST,2001,4,0,26,0
ARUNACHAL PRADESH,LOHIT,2001,16,2,31,0
ARUNACHAL PRADESH,PAPUM PARE,2001,11,9,109,0
ARUNACHAL PRADESH,SIANG EAST,2001,7,5,52,0
ARUNACHAL PRADESH,SIANG UPPER,2001,1,2,9,0
ARUNACHAL PRADESH,SIANG WEST,2001,5,4,72,0
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,2,25,0
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,2,20,0
ARUNACHAL PRADESH,TAWANG,2001,2,1,13,0
ARUNACHAL PRADESH,TIRAP,2001,8,1,17,0
ARUNACHAL PRADESH,TOTAL,2001,83,33,443,0
ASSAM,BARPETA,2001,64,28,187,10
ASSAM,BONGAIGAON,2001,45,20,92,1
ASSAM,C.I.D.,2001,0,0,1,0
ASSAM,CACHAR,2001,52,45,359,7
ASSAM,DARRANG,2001,61,48,185,9
ASSAM,DHEMAJI,2001,15,42,79,0
ASSAM,DHUBRI,2001,65,43,83,5
ASSAM,DIBRUGARH,2001,110,35,325,3
ASSAM,G.R.P.,2001,13,1,135,0
ASSAM,GOALPARA,2001,28,35,116,1
ASSAM,GOLAGHAT,2001,53,30,211,0
ASSAM,GUWAHATI CITY,2001,71,37,736,5
ASSAM,HAILAKANDI,2001,18,24,92,2
ASSAM,JORHAT,2001,40,42,230,2
ASSAM,KAMRUP,2001,37,21,275,2
ASSAM,KARBI ANGLONG,2001,65,5,79,4
ASSAM,KARIMGANJ,2001,32,33,114,1
ASSAM,KOKRAJHAR,2001,87,14,89,0
ASSAM,LAKHIMPUR,2001,26,64,195,0
ASSAM,MORIGAON,2001,20,23,66,0
ASSAM,N.C.HILLS,2001,17,2,30,0
ASSAM,NAGAON,2001,95,51,491,1
ASSAM,NALBARI,2001,79,30,119,3
ASSAM,R.P.O.,2001,11,3,29,0
ASSAM,SIBSAGAR,2001,59,47,343,0
ASSAM,SONITPUR,2001,86,53,356,1
ASSAM,TINSUKIA,2001,107,41,350,2
ASSAM,TOTAL,2001,1356,817,5367,59
BIHAR,ARARIA,2001,47,93,161,11
BIHAR,ARWAL,2001,37,0,24,7
BIHAR,AURANGABAD,2001,74,16,103,33
BIHAR,BAGAHA,2001,34,25,115,0
BIHAR,BANKA,2001,93,34,73,9
BIHAR,BEGUSARAI,2001,124,13,265,21
BIHAR,BETTIAH,2001,66,20,265,17
BIHAR,BHABHUA,2001,41,10,184,8
BIHAR,BHAGALPUR,2001,128,35,370,20
BIHAR,BHOJPUR,2001,135,22,214,23
BIHAR,BUXAR,2001,56,8,179,15
BIHAR,DARBHANGA,2001,53,19,103,37
BIHAR,GAYA,2001,200,25,416,26
BIHAR,GOPALGANJ,2001,107,13,153,22
BIHAR,JAMALPUR RLY.,2001,7,1,117,0
BIHAR,JAMUI,2001,67,10,81,16
BIHAR,JEHANABAD,2001,73,6,121,25
BIHAR,KATIHAR,2001,60,51,146,6
BIHAR,KATIHAR RLY.,2001,7,0,221,0
BIHAR,KHAGARIA,2001,72,5,86,11
BIHAR,KISHANGANJ,2001,25,22,57,4
BIHAR,LAKHISARAI,2001,61,10,79,6
BIHAR,MADHEPURA,2001,56,11,69,6
BIHAR,MADHUBANI,2001,35,13,98,12
BIHAR,MOTIHARI,2001,114,44,271,37
BIHAR,MUNGER,2001,51,11,157,8
BIHAR,MUZAFFARPUR,2001,153,73,538,69
BIHAR,MUZAFFARPUR RLY.,2001,13,2,313,0
BIHAR,NALANDA,2001,208,40,412,47
BIHAR,NAUGACHIA,2001,36,7,32,4
BIHAR,NAWADAH,2001,77,15,66,17
BIHAR,PATNA,2001,434,27,1568,90
BIHAR,PATNA RLY.,2001,24,1,811,0
BIHAR,PURNEA,2001,104,39,227,8
BIHAR,ROHTAS,2001,127,25,317,36
BIHAR,SAHARSA,2001,36,12,56,7
BIHAR,SAMASTIPUR,2001,107,19,247,11
BIHAR,SARAN,2001,137,20,246,67
BIHAR,SHEIKHPURA,2001,28,3,89,9
BIHAR,SHEOHAR,2001,18,11,16,3
BIHAR,SITAMARHI,2001,51,23,132,13
BIHAR,SIWAN,2001,116,4,112,32
BIHAR,SUPAUL,2001,41,30,129,7
BIHAR,VAISHALI,2001,110,20,262,59
BIHAR,TOTAL,2001,3643,888,9701,859
CHHATTISGARH,BALRAMPUR,2001,13,17,21,1
CHHATTISGARH,BILASPUR,2001,99,69,690,7
CHHATTISGARH,BIZAPUR,2001,9,4,3,0
CHHATTISGARH,DANTEWARA,2001,83,19,64,1
CHHATTISGARH,DHAMTARI,2001,14,22,110,1
CHHATTISGARH,DURG,2001,76,144,893,12
CHHATTISGARH,GRP RAIPUR,2001,2,0,197,0
CHHATTISGARH,JAGDALPUR,2001,80,59,172,3
CHHATTISGARH,JANJGIR,2001,48,29,237,9
CHHATTISGARH,JASHPUR,2001,37,36,54,2
CHHATTISGARH,KANKER,2001,31,42,53,1
CHHATTISGARH,KAWARDHA,2001,19,35,43,1
CHHATTISGARH,KORBA,2001,33,46,305,1
CHHATTISGARH,KORIYA,2001,35,34,153,3
CHHATTISGARH,MAHASAMUND,2001,18,43,146,6
CHHATTISGARH,RAIGARH,2001,50,53,173,2
CHHATTISGARH,RAIPUR,2001,92,104,953,16
CHHATTISGARH,RAJNANDGAON,2001,36,58,231,3
CHHATTISGARH,SARGUJA,2001,105,145,314,1
CHHATTISGARH,TOTAL,2001,880,959,4812,70
GOA,NORTH GOA,2001,22,4,291,2
GOA,SOUTH GOA,2001,14,8,285,0
GOA,TOTAL,2001,36,12,576,2
GUJARAT,AHMEDABAD COMMR.,2001,90,39,3588,7
GUJARAT,AHMEDABAD RURAL,2001,26,5,225,0
GUJARAT,AHWA-DANG,2001,6,1,8,0
GUJARAT,AMRELI,2001,41,2,199,2
GUJARAT,ANAND,2001,28,3,427,0
GUJARAT,BHARUCH,2001,37,4,388,0
GUJARAT,BHAVNAGAR,2001,64,9,561,2
GUJARAT,DAHOD,2001,36,5,120,0
GUJARAT,GANDHINAGAR,2001,25,4,585,3
GUJARAT,HIMATNAGAR,2001,55,17,191,4
GUJARAT,JAMNAGAR,2001,48,20,530,2
GUJARAT,JUNAGADH,2001,56,14,547,11
GUJARAT,KHEDA NORTH,2001,42,11,358,0
GUJARAT,KUTCH,2001,34,2,307,2
GUJARAT,MEHSANA,2001,28,4,557,5
GUJARAT,NARMADA,2001,16,8,46,0
GUJARAT,NAVSARI,2001,26,2,120,0
GUJARAT,PALANPUR,2001,52,18,420,2
GUJARAT,PANCHMAHAL,2001,56,5,313,0
GUJARAT,PATAN,2001,24,3,220,0
GUJARAT,PORBANDAR,2001,15,6,116,0
GUJARAT,RAJKOT COMMR.,2001,29,5,1245,3
GUJARAT,RAJKOT RURAL,2001,30,20,378,2
GUJARAT,SURAT COMMR.,2001,98,11,1422,20
GUJARAT,SURAT RURAL,2001,62,26,219,0
GUJARAT,SURENDRANAGAR,2001,38,11,204,2
GUJARAT,VADODARA COMMR.,2001,34,3,997,0
GUJARAT,VADODARA RURAL,2001,71,18,210,0
GUJARAT,VALSAD,2001,44,9,432,0
GUJARAT,W.RLY,2001,15,1,901,0
GUJARAT,TOTAL,2001,1226,286,15834,67
HARYANA,AMBALA,2001,26,11,365,11
HARYANA,BHIWANI,2001,40,10,190,33
HARYANA,FARIDABAD,2001,68,37,668,19
HARYANA,FATEHABAD,2001,18,17,141,17
HARYANA,GRP,2001,24,0,169,5
HARYANA,GURGAON,2001,69,32,794,17
HARYANA,HISSAR,2001,45,10,438,24
HARYANA,JHAJJAR,2001,48,21,183,20
HARYANA,JIND,2001,37,21,148,11
HARYANA,KAITHAL,2001,33,16,144,9
HARYANA,KARNAL,2001,42,44,468,18
HARYANA,KURUKSHETRA,2001,20,31,343,10
HARYANA,MAHENDRAGARH,2001,26,11,116,8
HARYANA,PANCHKULA,2001,12,6,226,4
HARYANA,PANIPAT,2001,43,38,415,11
HARYANA,REWARI,2001,21,11,155,12
HARYANA,ROHTAK,2001,57,28,365,17
HARYANA,SIRSA,2001,37,17,240,12
HARYANA,SONIPAT,2001,73,15,347,18
HARYANA,YAMUNANAGAR,2001,42,22,202,9
HARYANA,TOTAL,2001,781,398,6117,285
HIMACHAL PRADESH,BILASPUR,2001,8,5,49,1
HIMACHAL PRADESH,CHAMBA,2001,13,12,29,0
HIMACHAL PRADESH,G.R.P.,2001,1,0,1,0
HIMACHAL PRADESH,HAMIRPUR,2001,2,3,17,1
HIMACHAL PRADESH,KANGRA,2001,24,18,108,1
HIMACHAL PRADESH,KINNAUR,2001,5,6,2,0
HIMACHAL PRADESH,KULLU,2001,13,13,17,0
HIMACHAL PRADESH,LAHAUL-SPITI,2001,1,2,1,0
HIMACHAL PRADESH,MANDI,2001,18,16,64,0
HIMACHAL PRADESH,SHIMLA,2001,14,18,188,2
HIMACHAL PRADESH,SIRMAUR,2001,3,10,27,3
HIMACHAL PRADESH,SOLAN,2001,11,12,59,2
HIMACHAL PRADESH,UNA,2001,6,9,38,0
HIMACHAL PRADESH,TOTAL,2001,119,124,600,10
JAMMU & KASHMIR,ANANTNAG,2001,74,6,83,0
JAMMU & KASHMIR,AWANTIPORA,2001,25,1,19,0
JAMMU & KASHMIR,BARAMULLA,2001,144,28,156,0
JAMMU & KASHMIR,BORDER,2001,6,12,19,0
JAMMU & KASHMIR,BUDGAM,2001,78,7,94,0
JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0
JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0
JAMMU & KASHMIR,DODA,2001,104,7,18,0
JAMMU & KASHMIR,GANDERBAL,2001,24,5,44,0
JAMMU & KASHMIR,JAMMU,2001,27,13,479,5
JAMMU & KASHMIR,KARGIL,2001,0,0,6,0
JAMMU & KASHMIR,KATHUA,2001,16,13,37,3
JAMMU & KASHMIR,KULGAM,2001,39,6,43,0
JAMMU & KASHMIR,KUPWARA,2001,141,6,39,0
JAMMU & KASHMIR,LEH,2001,3,0,6,0
JAMMU & KASHMIR,POONCH,2001,100,13,67,0
JAMMU & KASHMIR,PULWAMA,2001,46,7,144,0
JAMMU & KASHMIR,RAILWAYS,2001,1,0,3,0
JAMMU & KASHMIR,RAJOURI,2001,76,17,21,3
JAMMU & KASHMIR,RAMBAN,2001,51,3,12,0
JAMMU & KASHMIR,REASI,2001,36,7,22,0
JAMMU & KASHMIR,SRINAGAR,2001,63,8,490,0
JAMMU & KASHMIR,UDHAMPUR,2001,21,10,117,2
JAMMU & KASHMIR,TOTAL,2001,1075,169,1919,13
JHARKHAND,BOKARO,2001,70,26,435,25
JHARKHAND,CHAIBASA,2001,109,32,99,0
JHARKHAND,CHATRA,2001,40,6,80,7
JHARKHAND,DEOGHAR,2001,47,22,129,10
JHARKHAND,DHANBAD,2001,97,32,546,30
JHARKHAND,DHANBAD RLY.,2001,11,2,209,0
JHARKHAND,DUMKA,2001,63,27,66,3
JHARKHAND,GARHWA,2001,32,11,54,15
JHARKHAND,GIRIDIH,2001,63,42,111,30
JHARKHAND,GODDA,2001,61,37,70,1
JHARKHAND,GUMLA,2001,136,29,56,0
JHARKHAND,HAZARIBAGH,2001,76,41,348,31
JHARKHAND,JAMSHEDPUR,2001,81,50,343,6
JHARKHAND,JAMSHEDPUR RLY.,2001,4,1,65,0
JHARKHAND,JAMTARA,2001,22,18,68,5
JHARKHAND,KODERMA,2001,21,2,77,11
JHARKHAND,LATEHAR,2001,54,12,48,6
JHARKHAND,LOHARDAGGA,2001,33,12,28,0
JHARKHAND,PAKUR,2001,31,23,37,7
JHARKHAND,PALAMU,2001,73,15,94,18
JHARKHAND,RANCHI,2001,243,73,647,4
JHARKHAND,SAHEBGANJ,2001,47,20,80,3
JHARKHAND,SARAIKELA,2001,44,17,123,4
JHARKHAND,SIMDEGA,2001,49,17,14,1
JHARKHAND,TOTAL,2001,1507,567,3827,217
KARNATAKA,BAGALKOT,2001,59,2,105,1
KARNATAKA,BANGALORE COMMR.,2001,221,40,6293,40
KARNATAKA,BANGALORE RURAL,2001,137,13,533,30
KARNATAKA,BELGAUM,2001,120,8,386,4
KARNATAKA,BELLARY,2001,58,16,303,5
KARNATAKA,BIDAR,2001,48,7,202,2
KARNATAKA,BIJAPUR,2001,51,6,202,1
KARNATAKA,CHAMARAJNAGAR,2001,19,4,133,7
KARNATAKA,CHICKMAGALUR,2001,41,8,222,4
KARNATAKA,CHITRADURGA,2001,31,18,145,2
KARNATAKA,DAKSHIN KANNADA,2001,33,3,219,1
KARNATAKA,DAVANAGERE,2001,58,22,332,8
KARNATAKA,DHARWAD COMMR.,2001,16,4,245,2
KARNATAKA,DHARWAD RURAL,2001,25,3,38,3
KARNATAKA,GADAG,2001,22,2,55,3
KARNATAKA,GULBARGA,2001,95,20,268,6
KARNATAKA,HASSAN,2001,64,20,268,4
KARNATAKA,HAVERI,2001,24,3,111,5
KARNATAKA,K.G.F.,2001,20,1,108,4
KARNATAKA,KODAGU,2001,26,4,87,4
KARNATAKA,KOLAR,2001,69,17,284,18
KARNATAKA,KOPPAL,2001,23,6,120,5
KARNATAKA,MANDYA,2001,67,15,328,7
KARNATAKA,MYSORE COMMR.,2001,32,2,326,9
KARNATAKA,MYSORE RURAL,2001,53,12,200,6
KARNATAKA,RAICHUR,2001,33,12,150,1
KARNATAKA,RAILWAYS,2001,12,1,331,1
KARNATAKA,SHIMOGA,2001,56,12,292,6
KARNATAKA,TUMKUR,2001,80,6,389,28
KARNATAKA,UDUPI,2001,16,2,112,0
KARNATAKA,UTTAR KANNADA,2001,17,4,81,3
KARNATAKA,TOTAL,2001,1626,293,12868,220
KERALA,ALAPUZHA,2001,22,21,195,1
KERALA,CBCID,2001,22,2,5,0
KERALA,ERNAKULAM,2001,44,38,1264,3
KERALA,IDUKKI,2001,33,34,254,0
KERALA,KANNUR,2001,26,42,213,0
KERALA,KASARGOD,2001,18,28,145,0
KERALA,KOLLAM,2001,41,55,291,3
KERALA,KOTTAYAM,2001,34,22,373,2
KERALA,KOZHIKODE,2001,34,39,428,2
KERALA,MALAPPURAM,2001,23,71,340,3
KERALA,PALAKKAD,2001,45,63,315,5
KERALA,PATHANAMTHITTA,2001,20,12,129,0
KERALA,RAILWAYS,2001,0,1,197,0
KERALA,THRISSUR,2001,42,42,516,2
KERALA,TRIVANDRUM,2001,53,57,636,6
KERALA,WAYANADU,2001,15,35,140,0
KERALA,TOTAL,2001,472,562,5441,27
MADHYA PRADESH,BALAGHAT,2001,56,87,226,3
MADHYA PRADESH,BARWANI,2001,41,34,237,5
MADHYA PRADESH,BETUL,2001,56,95,246,7
MADHYA PRADESH,BHIND,2001,63,31,283,34
MADHYA PRADESH,BHOPAL,2001,61,106,1351,15
MADHYA PRADESH,BHOPAL RLY.,2001,5,1,705,0
MADHYA PRADESH,CHHATARPUR,2001,54,65,163,20
MADHYA PRADESH,CHHINDWARA,2001,78,93,239,10
MADHYA PRADESH,DAMOH,2001,43,66,188,28
MADHYA PRADESH,DATIYA,2001,53,12,103,8
MADHYA PRADESH,DEWAS,2001,50,78,677,15
MADHYA PRADESH,DHAR,2001,89,68,651,41
MADHYA PRADESH,DINDORI,2001,13,20,44,0
MADHYA PRADESH,GUNA,2001,71,124,350,7
MADHYA PRADESH,GWALIOR,2001,84,59,925,20
MADHYA PRADESH,HARDA,2001,14,28,74,9
MADHYA PRADESH,HOSHANGABAD,2001,53,65,286,9
MADHYA PRADESH,INDORE,2001,111,84,2708,25
MADHYA PRADESH,INDORE RLY.,2001,6,2,193,0
MADHYA PRADESH,JABALPUR,2001,103,108,887,28
MADHYA PRADESH,JABALPUR RLY.,2001,3,0,221,1
MADHYA PRADESH,JHABUA,2001,124,44,269,5
MADHYA PRADESH,KATNI,2001,51,25,239,11
MADHYA PRADESH,KHANDWA,2001,41,63,290,11
MADHYA PRADESH,KHARGON,2001,47,47,533,5
MADHYA PRADESH,MANDLA,2001,35,64,116,4
MADHYA PRADESH,MANDSAUR,2001,28,41,444,4
MADHYA PRADESH,MORENA,2001,63,35,564,29
MADHYA PRADESH,NARSINGHPUR,2001,38,70,149,22
MADHYA PRADESH,NEEMUCH,2001,17,37,376,1
MADHYA PRADESH,PANNA,2001,24,44,99,19
MADHYA PRADESH,RAISEN,2001,39,79,187,20
MADHYA PRADESH,RAJGARH,2001,42,95,218,7
MADHYA PRADESH,RATLAM,2001,58,70,468,4
MADHYA PRADESH,REWA,2001,53,31,410,18
MADHYA PRADESH,SAGAR,2001,84,141,497,29
MADHYA PRADESH,SATNA,2001,49,58,495,19
MADHYA PRADESH,SEONI,2001,40,52,161,10
MADHYA PRADESH,SHAHDOL,2001,57,63,390,9
MADHYA PRADESH,SHAJAPUR,2001,42,90,588,8
MADHYA PRADESH,SHEOPUR,2001,24,21,94,6
MADHYA PRADESH,SHIVPURI,2001,88,72,255,14
MADHYA PRADESH,SIDHI,2001,36,42,346,27
MADHYA PRADESH,SIHORE,2001,35,59,364,5
MADHYA PRADESH,TIKAMGARH,2001,53,86,172,15
MADHYA PRADESH,UJJAIN,2001,84,59,1387,7
MADHYA PRADESH,UMARIYA,2001,19,25,127,2
MADHYA PRADESH,VIDISHA,2001,47,112,268,13
MADHYA PRADESH,TOTAL,2001,2425,2851,20263,609
MAHARASHTRA,AHMEDNAGAR,2001,97,44,715,0
MAHARASHTRA,AKOLA,2001,64,15,735,2
MAHARASHTRA,AMRAVATI COMMR.,2001,44,23,812,10
MAHARASHTRA,AMRAVATI RURAL,2001,72,42,1031,4
MAHARASHTRA,AURANGABAD COMMR.,2001,36,14,503,4
MAHARASHTRA,AURANGABAD RURAL,2001,61,28,273,6
MAHARASHTRA,BEED,2001,68,22,499,2
MAHARASHTRA,BHANDARA,2001,32,39,402,5
MAHARASHTRA,BULDHANA,2001,49,22,749,35
MAHARASHTRA,CHANDRAPUR,2001,49,43,572,2
MAHARASHTRA,DHULE,2001,48,16,360,6
MAHARASHTRA,GADCHIROLI,2001,47,27,124,0
MAHARASHTRA,GONDIA,2001,41,23,326,4
MAHARASHTRA,HINGOLI,2001,36,20,241,2
MAHARASHTRA,JALGAON,2001,83,19,557,5
MAHARASHTRA,JALNA,2001,43,16,345,5
MAHARASHTRA,KOLHAPUR,2001,54,26,561,19
MAHARASHTRA,LATUR,2001,42,7,281,38
MAHARASHTRA,MUMBAI,2001,295,127,11564,18
MAHARASHTRA,MUMBAI RLY.,2001,12,2,1756,0
MAHARASHTRA,NAGPUR COMMR.,2001,112,39,2666,7
MAHARASHTRA,NAGPUR RLY.,2001,12,2,762,2
MAHARASHTRA,NAGPUR RURAL,2001,101,81,1074,3
MAHARASHTRA,NANDED,2001,80,23,539,21
MAHARASHTRA,NANDURBAR,2001,44,16,132,2
MAHARASHTRA,NASIK COMMR.,2001,25,9,529,3
MAHARASHTRA,NASIK RURAL,2001,92,39,447,7
MAHARASHTRA,NAVI MUMBAI,2001,34,17,893,5
MAHARASHTRA,OSMANABAD,2001,48,16,349,2
MAHARASHTRA,PARBHANI,2001,49,25,230,1
MAHARASHTRA,PUNE COMMR.,2001,71,56,2508,2
MAHARASHTRA,PUNE RLY.,2001,4,0,302,0
MAHARASHTRA,PUNE RURAL,2001,119,42,635,5
MAHARASHTRA,RAIGAD,2001,53,20,296,1
MAHARASHTRA,RATNAGIRI,2001,17,10,256,0
MAHARASHTRA,SANGLI,2001,85,32,515,12
MAHARASHTRA,SATARA,2001,57,32,464,13
MAHARASHTRA,SINDHUDURG,2001,14,7,106,0
MAHARASHTRA,SOLAPUR COMMR.,2001,30,16,306,6
MAHARASHTRA,SOLAPUR RURAL,2001,101,35,365,6
MAHARASHTRA,THANE COMMR.,2001,133,39,1774,6
MAHARASHTRA,THANE RURAL,2001,140,65,523,6
MAHARASHTRA,WARDHA,2001,60,35,592,9
MAHARASHTRA,WASHIM,2001,29,15,409,10
MAHARASHTRA,YAVATMAL,2001,56,56,788,12
MAHARASHTRA,TOTAL,2001,2839,1302,39866,308
MANIPUR,BISHNUPUR,2001,29,1,11,0
MANIPUR,CHANDEL,2001,7,0,1,0
MANIPUR,CHURACHANDPUR,2001,35,1,12,0
MANIPUR,IMPHAL(EAST),2001,29,7,28,0
MANIPUR,IMPHAL(WEST),2001,44,7,121,0
MANIPUR,SENAPATI,2001,27,0,9,0
MANIPUR,TAMENGLONG,2001,2,0,4,0
MANIPUR,THOUBAL,2001,32,4,20,0
MANIPUR,UKHRUL,2001,4,0,11,0
MANIPUR,TOTAL,2001,209,20,217,0
MEGHALAYA,GARO HILLS EAST,2001,16,2,16,0
MEGHALAYA,GARO HILLS SOUTH,2001,6,1,8,0
MEGHALAYA,GARO HILLS WEST,2001,19,5,30,0
MEGHALAYA,JAINTIA HILLS,2001,35,7,30,0
MEGHALAYA,KHASI HILLS EAST,2001,50,5,142,0
MEGHALAYA,KHASI HILLS WEST,2001,16,4,23,0
MEGHALAYA,RI-BHOI,2001,22,2,22,0
MEGHALAYA,TOTAL,2001,164,26,271,0
MIZORAM,AIZAWL,2001,12,26,562,0
MIZORAM,CHAMPHAI,2001,2,7,51,0
MIZORAM,KOLASIB,2001,3,6,83,0
MIZORAM,LAWNGTLAI,2001,2,2,25,0
MIZORAM,LUNGLEI,2001,5,3,120,0
MIZORAM,MAMIT,2001,4,0,12,0
MIZORAM,SAIHA,2001,2,3,0,0
MIZORAM,SERCHHIP,2001,1,5,25,0
MIZORAM,TOTAL,2001,31,52,878,0
NAGALAND,DIMAPUR,2001,36,4,114,0
NAGALAND,KIPHIRE,2001,1,0,5,0
NAGALAND,KOHIMA,2001,25,6,66,0
NAGALAND,MOKOKCHUNG,2001,12,1,12,0
NAGALAND,MON,2001,3,2,6,0
NAGALAND,PEREN,2001,0,0,4,0
NAGALAND,PHEK,2001,7,1,7,0
NAGALAND,TUENSANG,2001,1,0,5,0
NAGALAND,WOKHA,2001,12,1,28,0
NAGALAND,ZUNHEBOTO,2001,4,2,11,0
NAGALAND,TOTAL,2001,101,17,258,0
ODISHA,ANGUL,2001,39,33,175,8
ODISHA,BALASORE,2001,17,58,164,36
ODISHA,BARAGARH,2001,23,19,146,0
ODISHA,BERHAMPUR,2001,23,10,143,4
ODISHA,BHADRAK,2001,27,35,93,23
ODISHA,BOLANGIR,2001,32,19,112,4
ODISHA,BOUDH,2001,9,6,39,1
ODISHA,CUTTACK,2001,35,34,738,39
ODISHA,DEOGARH,2001,16,8,22,2
ODISHA,DHENKANAL,2001,25,15,84,14
ODISHA,GAJAPATI,2001,19,10,40,1
ODISHA,GANJAM,2001,58,22,124,1
ODISHA,JAGATSINGHPUR,2001,26,12,136,16
ODISHA,JAJPUR,2001,21,24,129,16
ODISHA,JHARSUGUDA,2001,15,12,81,4
ODISHA,KALAHANDI,2001,29,30,75,0
ODISHA,KANDHAMAL,2001,24,34,115,4
ODISHA,KENDRAPARA,2001,24,11,78,24
ODISHA,KEONJHAR,2001,62,38,154,4
ODISHA,KHURDA,2001,46,65,953,11
ODISHA,KORAPUT,2001,39,38,153,7
ODISHA,MALKANGIR,2001,36,14,42,0
ODISHA,MAYURBHANJ,2001,74,77,199,19
ODISHA,NAYAGARH,2001,26,17,60,14
ODISHA,NOWRANGPUR,2001,19,13,83,0
ODISHA,NUAPADA,2001,13,9,44,0
ODISHA,PURI,2001,25,41,236,29
ODISHA,RAYAGADA,2001,35,9,64,1
ODISHA,ROURKELA,2001,20,12,209,2
ODISHA,SAMBALPUR,2001,39,18,303,0
ODISHA,SONEPUR,2001,9,8,35,6
ODISHA,SRP(CUTTACK),2001,3,1,287,0
ODISHA,SRP(ROURKELA),2001,7,2,135,0
ODISHA,SUNDARGARH,2001,72,36,171,4
ODISHA,TOTAL,2001,987,790,5622,294
PUNJAB,AMRITSAR,2001,36,9,141,7
PUNJAB,BARNALA,2001,15,12,39,6
PUNJAB,BATALA,2001,18,8,26,6
PUNJAB,BHATINDA,2001,25,13,94,4
PUNJAB,FARIDKOT,2001,12,6,56,4
PUNJAB,FATEHGARH SAHIB,2001,16,11,62,4
PUNJAB,FEROZEPUR,2001,50,22,115,11
PUNJAB,G.R.P,2001,10,0,41,3
PUNJAB,GURDASPUR,2001,22,12,38,6
PUNJAB,HOSHIARPUR,2001,47,19,119,12
PUNJAB,JAGRAON,2001,27,19,90,7
PUNJAB,JALANDHAR,2001,74,21,290,17
PUNJAB,KAPURTHALA,2001,20,8,64,2
PUNJAB,KHANNA,2001,17,6,44,4
PUNJAB,LUDHIANA,2001,74,38,624,11
PUNJAB,MAJITHA,2001,26,9,31,9
PUNJAB,MANSA,2001,25,6,42,2
PUNJAB,MOGA,2001,23,11,64,6
PUNJAB,MUKTSAR,2001,19,3,49,1
PUNJAB,NAWAN SHAHR,2001,17,11,57,4
PUNJAB,PATIALA,2001,56,23,583,10
PUNJAB,ROPAR,2001,26,6,129,5
PUNJAB,SANGRUR,2001,46,15,157,10
PUNJAB,TARN TARAN,2001,37,10,68,8
PUNJAB,TOTAL,2001,738,298,3023,159
RAJASTHAN,AJMER,2001,39,16,748,12
RAJASTHAN,ALWAR,2001,85,34,964,43
RAJASTHAN,BANSWARA,2001,40,90,118,10
RAJASTHAN,BARAN,2001,36,81,365,3
RAJASTHAN,BARMER,2001,11,13,185,13
RAJASTHAN,BHARATPUR,2001,75,48,808,24
RAJASTHAN,BHILWARA,2001,34,42,787,5
RAJASTHAN,BIKANER,2001,21,35,431,13
RAJASTHAN,BUNDI,2001,33,36,391,2
RAJASTHAN,CHITTORGARH,2001,41,67,730,7
RAJASTHAN,CHURU,2001,26,24,210,8
RAJASTHAN,DAUSA,2001,28,9,380,8
